Year,Blue Mesa Elevation Percentage,Flaming Gorge Elevation Percentage,Fontanelle Elevation Percentage,Lake Powell Elevation Percentage,Morrow Point Elevation Percentage,Navajo Elevation Percentage,Strawberry Elevation Percentage
1990,0.997094552929541,0.9974763661218023,0.9975187960294588,0.9836141118839623,0.9991723503574069,0.9968308091602383,0.9943316965931865
1991,0.997824904477997,0.998350473174451,0.9973004162664104,0.9820756239849,0.9992161068626958,0.998362109783445,0.9944068910574709
1992,0.9963062387316397,0.9980944383437762,0.9957788024335573,0.9803267888979971,0.9990470158994383,0.9990460368399938,0.9938794336782633
1993,0.9969594545171634,0.9983715908720755,0.9973434518091577,0.9865213219452764,0.9992895386574758,0.9988805352606047,0.9940222593152349
1994,0.9967348076903468,0.9974439304424447,0.9966281139929556,0.9892102939810495,0.9988847909835532,0.9981775645620565,0.9944146735749115
1995,0.9971148343154844,0.9979855372756349,0.9967800192122959,0.9929636272963466,0.9986541383413118,0.9981319420240294,0.9954935935631785
1996,0.9970075535417506,0.9983397072893875,0.9967013768812041,0.995282631770226,0.9987741196098038,0.9959208244828348,0.9972283276619607
1997,0.9964534173137869,0.9988196173197141,0.9974753762407941,0.995816503303781,0.9987458408045238,0.9971916793258933,0.9987432878527398
1998,0.9959472692831649,0.9989722720489466,0.997450144092219,0.9969056643589348,0.9988461549203723,0.9976858549855433,0.9994100632554249
1999,0.9972725414859629,0.9986324565486118,0.9974340057636888,0.9970402595048522,0.999046084909964,0.9981801676498118,0.9989659116967072
2000,0.9962149170812715,0.9976125959751049,0.9964333013128402,0.9949629401171091,0.9990090780783634,0.9972773072125807,0.9987192826228881
2001,0.9957339268353989,0.9970852056311651,0.9953453730387447,0.9914835315962668,0.998637962399197,0.9967573746846152,0.9986350998990247
2002,0.9925554014317992,0.9959291152043558,0.9967490233749599,0.983813862804034,0.9984194126201209,0.9919493345959678,0.9979905759194442
2003,0.9920903703092923,0.9954193919538534,0.9971765609990394,0.9758303641238331,0.9989531023362249,0.987351733601643,0.9975342573264181
2004,0.9945937361327408,0.995497789680982,0.9977174511687479,0.9681482954437852,0.9987862224729688,0.9895065422445519,0.9972203259186768
2005,0.9952857414542219,0.9973343392534659,0.9971652897854628,0.9705232121390844,0.9987816838992818,0.9970794725431783,0.9974598301525855
2006,0.9973865827216778,0.9975985175100218,0.9970963816842779,0.9741978625298837,0.9985022706833278,0.9981829077421857,0.9983407892042672
2007,0.9969008269042449,0.9976459978236348,0.9960217739353184,0.9745044779376686,0.9987912265413927,0.9987659993993717,0.998452375158555
2008,0.9959152402091886,0.9973126694591717,0.9966142811399297,0.977564319345358,0.998833470188786,0.9963344414266894,0.9985172660081999
2009,0.9971847663074535,0.9981009254796479,0.9972598142811399,0.981222060798228,0.9987297812360932,0.9960933132977777,0.9990049338968314
2010,0.9964197258311267,0.9980251502117015,0.9969315401857187,0.981679954837354,0.9987586419097946,0.9966894203937404,0.9990258699648756
2011,0.9966470325118374,0.9986136852618346,0.9969453730387446,0.9837658414203146,0.9989635759678102,0.9964410310200378,0.9992960658168595
2012,0.9934642956729054,0.9977528285292642,0.9972101184758244,0.9814402988237692,0.9988511589887965,0.9937164201679567,0.9986668876463167
2013,0.9919396452552861,0.9967227541673637,0.9966461735510725,0.9725831716838869,0.9985296184991331,0.9901767688392311,0.998014142697609
2014,0.9956161174733339,0.9978516538331796,0.9975532500800512,0.972370344518483,0.9984955210096395,0.992382269191059,0.9978420504105443
2015,0.9974731388004857,0.9986321805002768,0.9978423310918987,0.9743655991941426,0.9983629713832456,0.9956923007788439,0.9976725888336001
2016,0.9969477068291306,0.9982054097744298,0.9972397054114633,0.9752545584242133,0.9984324464727603,0.9967573746846152,0.9973892394310124
2017,0.9975532668990492,0.9986070601017956,0.9973335894972783,0.9787644030333282,0.9986650774676341,0.9965646091861049,0.9982397260904622
2018,0.9926442848827647,0.998645430820355,0.997135446685879,0.9746381712735631,0.9982379860463297,0.9924211785027696,0.9982751310641704
2019,0.9949682213955987,0.9987183075807841,0.9969625360230547,0.9733589537560838,0.9986198081044495,0.9947295693232411,0.9986473765462546
2020,0.9954935425397082,0.9983105841900493,0.9958293948126801,0.9750640510568762,0.9981615285357583,0.9956868205940957,0.9988332800614533
