Date,Elevation (feet), , , , , , , , , ,
01-Jan-1990,7488.25, , , , , , , , , ,
01-Feb-1990,7488.88, , , , , , , , , ,
01-Mar-1990,7489.29, , , , , , , , , ,
01-Apr-1990,7485.00, , , , , , , , , ,
01-May-1990,7488.21, , , , , , , , , ,
01-Jun-1990,7502.32, , , , , , , , , ,
01-Jul-1990,7502.10, , , , , , , , , ,
01-Aug-1990,7498.76, , , , , , , , , ,
01-Sep-1990,7494.74, , , , , , , , , ,
01-Oct-1990,7495.88, , , , , , , , , ,
01-Nov-1990,7497.93, , , , , , , , , ,
01-Dec-1990,7498.28, , , , , , , , , ,
01-Jan-1991,7497.09, , , , , , , , , ,
01-Feb-1991,7495.71, , , , , , , , , ,
01-Mar-1991,7495.90, , , , , , , , , ,
01-Apr-1991,7500.22, , , , , , , , , ,
01-May-1991,7512.92, , , , , , , , , ,
01-Jun-1991,7517.99, , , , , , , , , ,
01-Jul-1991,7517.03, , , , , , , , , ,
01-Aug-1991,7511.72, , , , , , , , , ,
01-Sep-1991,7504.71, , , , , , , , , ,
01-Oct-1991,7497.81, , , , , , , , , ,
01-Nov-1991,7494.45, , , , , , , , , ,
01-Dec-1991,7488.71, , , , , , , , , ,
01-Jan-1992,7484.23, , , , , , , , , ,
01-Feb-1992,7482.33, , , , , , , , , ,
01-Mar-1992,7481.43, , , , , , , , , ,
01-Apr-1992,7486.60, , , , , , , , , ,
01-May-1992,7495.68, , , , , , , , , ,
01-Jun-1992,7504.51, , , , , , , , , ,
01-Jul-1992,7502.94, , , , , , , , , ,
01-Aug-1992,7497.84, , , , , , , , , ,
01-Sep-1992,7492.95, , , , , , , , , ,
01-Oct-1992,7488.77, , , , , , , , , ,
01-Nov-1992,7489.97, , , , , , , , , ,
01-Dec-1992,7489.98, , , , , , , , , ,
01-Jan-1993,7489.93, , , , , , , , , ,
01-Feb-1993,7487.32, , , , , , , , , ,
01-Mar-1993,7473.99, , , , , , , , , ,
01-Apr-1993,7466.57, , , , , , , , , ,
01-May-1993,7492.73, , , , , , , , , ,
01-Jun-1993,7514.49, , , , , , , , , ,
01-Jul-1993,7517.12, , , , , , , , , ,
01-Aug-1993,7513.50, , , , , , , , , ,
01-Sep-1993,7507.03, , , , , , , , , ,
01-Oct-1993,7503.55, , , , , , , , , ,
01-Nov-1993,7498.18, , , , , , , , , ,
01-Dec-1993,7491.76, , , , , , , , , ,
01-Jan-1994,7487.42, , , , , , , , , ,
01-Feb-1994,7487.47, , , , , , , , , ,
01-Mar-1994,7488.17, , , , , , , , , ,
01-Apr-1994,7489.78, , , , , , , , , ,
01-May-1994,7499.03, , , , , , , , , ,
01-Jun-1994,7511.00, , , , , , , , , ,
01-Jul-1994,7505.39, , , , , , , , , ,
01-Aug-1994,7499.45, , , , , , , , , ,
01-Sep-1994,7494.24, , , , , , , , , ,
01-Oct-1994,7492.57, , , , , , , , , ,
01-Nov-1994,7491.61, , , , , , , , , ,
01-Dec-1994,7489.77, , , , , , , , , ,
01-Jan-1995,7488.86, , , , , , , , , ,
