Date,Elevation (feet), , , , , , , , , ,
01-Oct-1990,6022.46, , , , , , , , , ,
01-Nov-1990,6022.57, , , , , , , , , ,
01-Dec-1990,6022.03, , , , , , , , , ,
01-Jan-1991,6022.01, , , , , , , , , ,
01-Feb-1991,6022.34, , , , , , , , , ,
01-Mar-1991,6022.89, , , , , , , , , ,
01-Apr-1991,6023.18, , , , , , , , , ,
01-May-1991,6024.17, , , , , , , , , ,
01-Jun-1991,6031.26, , , , , , , , , ,
01-Jul-1991,6032.00, , , , , , , , , ,
01-Aug-1991,6031.93, , , , , , , , , ,
01-Sep-1991,6031.14, , , , , , , , , ,
01-Oct-1991,6030.43, , , , , , , , , ,
01-Nov-1991,6030.69, , , , , , , , , ,
01-Dec-1991,6029.53, , , , , , , , , ,
01-Jan-1992,6028.72, , , , , , , , , ,
01-Feb-1992,6029.08, , , , , , , , , ,
01-Mar-1992,6029.64, , , , , , , , , ,
01-Apr-1992,6029.78, , , , , , , , , ,
01-May-1992,6027.72, , , , , , , , , ,
01-Jun-1992,6027.28, , , , , , , , , ,
01-Jul-1992,6026.43, , , , , , , , , ,
01-Aug-1992,6025.05, , , , , , , , , ,
01-Sep-1992,6023.60, , , , , , , , , ,
01-Oct-1992,6022.65, , , , , , , , , ,
01-Nov-1992,6022.02, , , , , , , , , ,
01-Dec-1992,6021.05, , , , , , , , , ,
01-Jan-1993,6020.53, , , , , , , , , ,
01-Feb-1993,6020.52, , , , , , , , , ,
01-Mar-1993,6022.56, , , , , , , , , ,
01-Apr-1993,6023.85, , , , , , , , , ,
01-May-1993,6026.20, , , , , , , , , ,
01-Jun-1993,6028.67, , , , , , , , , ,
01-Jul-1993,6030.97, , , , , , , , , ,
01-Aug-1993,6033.68, , , , , , , , , ,
01-Sep-1993,6033.17, , , , , , , , , ,
01-Oct-1993,6032.71, , , , , , , , , ,
01-Nov-1993,6030.99, , , , , , , , , ,
01-Dec-1993,6029.25, , , , , , , , , ,
01-Jan-1994,6028.19, , , , , , , , , ,
01-Feb-1994,6027.40, , , , , , , , , ,
01-Mar-1994,6027.67, , , , , , , , , ,
01-Apr-1994,6028.03, , , , , , , , , ,
01-May-1994,6024.45, , , , , , , , , ,
01-Jun-1994,6022.34, , , , , , , , , ,
01-Jul-1994,6021.44, , , , , , , , , ,
01-Aug-1994,6019.56, , , , , , , , , ,
01-Sep-1994,6017.43, , , , , , , , , ,
01-Oct-1994,6016.82, , , , , , , , , ,
01-Nov-1994,6016.64, , , , , , , , , ,
01-Dec-1994,6015.92, , , , , , , , , ,
01-Jan-1995,6015.33, , , , , , , , , ,
01-Feb-1995,6015.80, , , , , , , , , ,
01-Mar-1995,6017.68, , , , , , , , , ,
01-Apr-1995,6018.75, , , , , , , , , ,
01-May-1995,6018.11, , , , , , , , , ,
01-Jun-1995,6025.46, , , , , , , , , ,
