Date,Elevation (feet), , , , , , , , , ,
01-Oct-1990,3637.39, , , , , , , , , ,
01-Nov-1990,3636.24, , , , , , , , , ,
01-Dec-1990,3633.48, , , , , , , , , ,
01-Jan-1991,3630.71, , , , , , , , , ,
01-Feb-1991,3629.00, , , , , , , , , ,
01-Mar-1991,3627.75, , , , , , , , , ,
01-Apr-1991,3627.61, , , , , , , , , ,
01-May-1991,3632.30, , , , , , , , , ,
01-Jun-1991,3639.02, , , , , , , , , ,
01-Jul-1991,3635.59, , , , , , , , , ,
01-Aug-1991,3631.22, , , , , , , , , ,
01-Sep-1991,3628.62, , , , , , , , , ,
01-Oct-1991,3627.24, , , , , , , , , ,
01-Nov-1991,3626.59, , , , , , , , , ,
01-Dec-1991,3624.55, , , , , , , , , ,
01-Jan-1992,3621.26, , , , , , , , , ,
01-Feb-1992,3619.83, , , , , , , , , ,
01-Mar-1992,3619.39, , , , , , , , , ,
01-Apr-1992,3621.41, , , , , , , , , ,
01-May-1992,3630.73, , , , , , , , , ,
01-Jun-1992,3633.74, , , , , , , , , ,
01-Jul-1992,3630.54, , , , , , , , , ,
01-Aug-1992,3626.16, , , , , , , , , ,
01-Sep-1992,3623.01, , , , , , , , , ,
01-Oct-1992,3621.21, , , , , , , , , ,
01-Nov-1992,3619.44, , , , , , , , , ,
01-Dec-1992,3615.91, , , , , , , , , ,
01-Jan-1993,3613.68, , , , , , , , , ,
01-Feb-1993,3612.60, , , , , , , , , ,
01-Mar-1993,3616.66, , , , , , , , , ,
01-Apr-1993,3623.70, , , , , , , , , ,
01-May-1993,3646.67, , , , , , , , , ,
01-Jun-1993,3666.34, , , , , , , , , ,
01-Jul-1993,3667.73, , , , , , , , , ,
01-Aug-1993,3664.39, , , , , , , , , ,
01-Sep-1993,3662.52, , , , , , , , , ,
01-Oct-1993,3662.26, , , , , , , , , ,
01-Nov-1993,3661.53, , , , , , , , , ,
01-Dec-1993,3659.31, , , , , , , , , ,
01-Jan-1994,3657.15, , , , , , , , , ,
01-Feb-1994,3655.04, , , , , , , , , ,
01-Mar-1994,3654.52, , , , , , , , , ,
01-Apr-1994,3654.01, , , , , , , , , ,
01-May-1994,3661.03, , , , , , , , , ,
01-Jun-1994,3665.66, , , , , , , , , ,
01-Jul-1994,3661.76, , , , , , , , , ,
01-Aug-1994,3656.90, , , , , , , , , ,
01-Sep-1994,3654.42, , , , , , , , , ,
01-Oct-1994,3653.73, , , , , , , , , ,
01-Nov-1994,3652.40, , , , , , , , , ,
01-Dec-1994,3650.04, , , , , , , , , ,
01-Jan-1995,3646.98, , , , , , , , , ,
01-Feb-1995,3644.74, , , , , , , , , ,
01-Mar-1995,3645.21, , , , , , , , , ,
01-Apr-1995,3646.52, , , , , , , , , ,
01-May-1995,3658.91, , , , , , , , , ,
01-Jun-1995,3680.28, , , , , , , , , ,
01-Jul-1995,3693.59, , , , , , , , , ,
01-Aug-1995,3691.43, , , , , , , , , ,
01-Sep-1995,3687.10, , , , , , , , , ,
01-Oct-1995,3684.58, , , , , , , , , ,
01-Nov-1995,3682.88, , , , , , , , , ,
01-Dec-1995,3680.92, , , , , , , , , ,
01-Jan-1996,3677.85, , , , , , , , , ,
01-Feb-1996,3676.08, , , , , , , , , ,
01-Mar-1996,3672.74, , , , , , , , , ,
01-Apr-1996,3672.50, , , , , , , , , ,
01-May-1996,3680.90, , , , , , , , , ,
01-Jun-1996,3687.75, , , , , , , , , ,
01-Jul-1996,3686.49, , , , , , , , , ,
01-Aug-1996,3682.20, , , , , , , , , ,
01-Sep-1996,3679.29, , , , , , , , , ,
01-Oct-1996,3678.00, , , , , , , , , ,
01-Nov-1996,3677.49, , , , , , , , , ,
01-Dec-1996,3674.71, , , , , , , , , ,
01-Jan-1997,3671.10, , , , , , , , , ,
01-Feb-1997,3666.22, , , , , , , , , ,
01-Mar-1997,3663.22, , , , , , , , , ,
01-Apr-1997,3664.64, , , , , , , , , ,
01-May-1997,3678.84, , , , , , , , , ,
01-Jun-1997,3694.08, , , , , , , , , ,
01-Jul-1997,3693.50, , , , , , , , , ,
01-Aug-1997,3690.91, , , , , , , , , ,
01-Sep-1997,3690.32, , , , , , , , , ,
01-Oct-1997,3688.70, , , , , , , , , ,
01-Nov-1997,3685.85, , , , , , , , , ,
01-Dec-1997,3682.30, , , , , , , , , ,
01-Jan-1998,3678.93, , , , , , , , , ,
01-Feb-1998,3675.64, , , , , , , , , ,
01-Mar-1998,3673.12, , , , , , , , , ,
01-Apr-1998,3676.45, , , , , , , , , ,
01-May-1998,3689.30, , , , , , , , , ,
01-Jun-1998,3696.27, , , , , , , , , ,
01-Jul-1998,3695.24, , , , , , , , , ,
01-Aug-1998,3690.74, , , , , , , , , ,
01-Sep-1998,3687.71, , , , , , , , , ,
01-Oct-1998,3686.35, , , , , , , , , ,
01-Nov-1998,3685.54, , , , , , , , , ,
01-Dec-1998,3682.70, , , , , , , , , ,
01-Jan-1999,3680.59, , , , , , , , , ,
01-Feb-1999,3678.83, , , , , , , , , ,
01-Mar-1999,3677.64, , , , , , , , , ,
01-Apr-1999,3677.48, , , , , , , , , ,
01-May-1999,3682.07, , , , , , , , , ,
01-Jun-1999,3693.57, , , , , , , , , ,
