Date,Elevation (feet), , , , , , , , , ,
01-Mar-1968,6954.00, , , , , , , , , ,
01-Apr-1968,6968.40, , , , , , , , , ,
01-May-1968,7010.20, , , , , , , , , ,
01-Jul-1968,7057.90, , , , , , , , , ,
01-Aug-1968,7071.20, , , , , , , , , ,
01-Sep-1968,7086.50, , , , , , , , , ,
01-Oct-1968,7143.80, , , , , , , , , ,
01-Nov-1968,7153.20, , , , , , , , , ,
01-Dec-1968,7149.86, , , , , , , , , ,
01-Jan-1969,7146.26, , , , , , , , , ,
01-Feb-1969,7149.44, , , , , , , , , ,
01-Mar-1969,7149.57, , , , , , , , , ,
01-Apr-1969,7150.32, , , , , , , , , ,
01-May-1969,7156.56, , , , , , , , , ,
01-Jun-1969,7152.34, , , , , , , , , ,
01-Jul-1969,7142.56, , , , , , , , , ,
01-Aug-1969,7105.75, , , , , , , , , ,
01-Sep-1969,7033.10, , , , , , , , , ,
01-Oct-1969,7005.40, , , , , , , , , ,
01-Nov-1969,7022.50, , , , , , , , , ,
01-Dec-1969,7021.00, , , , , , , , , ,
01-Jan-1970,7046.20, , , , , , , , , ,
01-Feb-1970,7120.55, , , , , , , , , ,
01-Mar-1970,7156.73, , , , , , , , , ,
01-Apr-1970,7161.44, , , , , , , , , ,
01-May-1970,7157.10, , , , , , , , , ,
01-Jun-1970,7157.33, , , , , , , , , ,
01-Jul-1970,7142.93, , , , , , , , , ,
01-Aug-1970,7154.96, , , , , , , , , ,
01-Oct-1970,7158.13, , , , , , , , , ,
01-Nov-1970,7155.86, , , , , , , , , ,
01-Dec-1970,7159.41, , , , , , , , , ,
01-Jan-1971,7158.21, , , , , , , , , ,
01-Feb-1971,7158.86, , , , , , , , , ,
01-Mar-1971,7158.22, , , , , , , , , ,
01-Apr-1971,7156.88, , , , , , , , , ,
01-May-1971,7158.17, , , , , , , , , ,
01-Jun-1971,7159.48, , , , , , , , , ,
01-Jul-1971,7160.35, , , , , , , , , ,
01-Aug-1971,7160.27, , , , , , , , , ,
01-Sep-1971,7159.49, , , , , , , , , ,
01-Oct-1971,7159.40, , , , , , , , , ,
01-Nov-1971,7159.94, , , , , , , , , ,
01-Dec-1971,7157.75, , , , , , , , , ,
01-Jan-1972,7158.59, , , , , , , , , ,
01-Feb-1972,7159.15, , , , , , , , , ,
01-Mar-1972,7158.82, , , , , , , , , ,
01-Apr-1972,7157.51, , , , , , , , , ,
01-May-1972,7158.62, , , , , , , , , ,
01-Jun-1972,7159.46, , , , , , , , , ,
01-Jul-1972,7157.48, , , , , , , , , ,
01-Aug-1972,7157.51, , , , , , , , , ,
01-Sep-1972,7158.89, , , , , , , , , ,
01-Oct-1972,7157.16, , , , , , , , , ,
01-Nov-1972,7158.40, , , , , , , , , ,
