Date,Blue Mesa Elevation (feet),Flaming Gorge Elevation (feet),Fontenelle Elevation (feet),Lake Powell Elevation (feet),Morrow Point Elevation (feet),Navajo Elevation (feet),Strawberry Elevation (feet)
01-Oct-1990,7495.88,6022.46,6494.4,3637.39,7156.8,6063.07,7559.66
01-Nov-1990,7497.93,6022.57,6491.32,3636.24,7155.52,6063.69,7559.5
01-Dec-1990,7498.28,6022.03,6484.6,3633.48,7152.42,6062.97,7559.09
01-Jan-1991,7497.09,6022.01,6476.64,3630.71,7152.78,6062.1,7558.88
01-Feb-1991,7495.71,6022.34,6468.04,3629.0,7156.02,6061.9,7558.6
01-Mar-1991,7495.9,6022.89,6464.84,3627.75,7160.84,6063.96,7558.37
01-Apr-1991,7500.22,6023.18,6469.87,3627.61,7156.99,6071.08,7559.2
01-May-1991,7512.92,6024.17,6482.25,3632.3,7154.32,6074.25,7561.55
01-Jun-1991,7517.99,6031.26,6503.36,3639.02,7155.93,6078.76,7563.32
01-Jul-1991,7517.03,6032.0,6504.71,3635.59,7154.03,6077.03,7561.55
01-Aug-1991,7511.72,6031.93,6504.67,3631.22,7154.58,6076.38,7559.86
01-Sep-1991,7504.71,6031.14,6503.51,3628.62,7153.15,6077.76,7559.92
01-Oct-1991,7497.81,6030.43,6499.53,3627.24,7156.29,6076.23,7559.65
01-Nov-1991,7494.45,6030.69,6496.77,3626.59,7154.16,6075.85,7559.48
01-Dec-1991,7488.71,6029.53,6490.04,3624.55,7153.63,6075.39,7559.48
01-Jan-1992,7484.23,6028.72,6480.41,3621.26,7154.19,6074.46,7560.31
01-Feb-1992,7482.33,6029.08,6471.76,3619.83,7154.61,6074.56,7560.09
01-Mar-1992,7481.43,6029.64,6470.94,3619.39,7155.83,6077.42,7560.29
01-Apr-1992,7486.6,6029.78,6463.81,3621.41,7157.17,6079.65,7559.82
01-May-1992,7495.68,6027.72,6477.44,3630.73,7153.86,6079.07,7559.5
01-Jun-1992,7504.51,6027.28,6482.38,3633.74,7154.28,6078.12,7557.14
01-Jul-1992,7502.94,6026.43,6486.98,3630.54,7152.26,6077.73,7555.35
01-Aug-1992,7497.84,6025.05,6485.0,3626.16,7154.13,6077.78,7553.03
01-Sep-1992,7492.95,6023.6,6483.05,3623.01,7152.65,6077.29,7551.79
01-Oct-1992,7488.77,6022.65,6482.02,3621.21,7151.07,6075.93,7551.94
01-Nov-1992,7489.97,6022.02,6481.48,3619.44,7152.38,6074.87,7551.46
01-Dec-1992,7489.98,6021.05,6480.16,3615.91,7155.76,6073.73,7551.02
01-Jan-1993,7489.93,6020.53,6477.75,3613.68,7156.98,6073.1,7550.64
01-Feb-1993,7487.32,6020.52,6471.22,3612.6,7153.3,6073.13,7550.36
01-Mar-1993,7473.99,6022.56,6467.7,3616.66,7156.41,6068.87,7550.27
01-Apr-1993,7466.57,6023.85,6464.47,3623.7,7152.22,6065.65,7551.38
01-May-1993,7492.73,6026.2,6488.37,3646.67,7158.52,6075.1,7557.97
01-Jun-1993,7514.49,6028.67,6501.73,3666.34,7156.14,6078.8,7561.21
01-Jul-1993,7517.12,6030.97,6505.85,3667.73,7156.16,6078.69,7561.07
01-Aug-1993,7513.5,6033.68,6504.0,3664.39,7155.87,6080.25,7559.97
01-Sep-1993,7507.03,6033.17,6501.84,3662.52,7157.97,6080.32,7559.26
01-Oct-1993,7503.55,6032.71,6500.84,3662.26,7155.13,6079.79,7560.58
01-Nov-1993,7498.18,6030.99,6495.89,3661.53,7156.58,6078.4,7561.01
01-Dec-1993,7491.76,6029.25,6487.93,3659.31,7153.75,6076.43,7561.05
01-Jan-1994,7487.42,6028.19,6479.76,3657.15,7154.43,6074.39,7561.15
01-Feb-1994,7487.47,6027.4,6471.71,3655.04,7154.02,6073.93,7561.3
01-Mar-1994,7488.17,6027.67,6472.54,3654.52,7151.16,6078.03,7561.72
01-Apr-1994,7489.78,6028.03,6471.86,3654.01,7149.96,6082.52,7562.87
01-May-1994,7499.03,6024.45,6490.25,3661.03,7151.81,6081.89,7564.03
01-Jun-1994,7511.0,6022.34,6496.8,3665.66,7151.96,6076.82,7561.91
01-Jul-1994,7505.39,6021.44,6493.58,3661.76,7153.9,6068.45,7559.34
01-Aug-1994,7499.45,6019.56,6492.43,3656.9,7153.49,6065.25,7557.59
01-Sep-1994,7494.24,6017.43,6490.89,3654.42,7153.3,6064.43,7556.42
01-Oct-1994,7492.57,6016.82,6488.01,3653.73,7152.82,6063.75,7557.69
01-Nov-1994,7491.61,6016.64,6484.36,3652.4,7155.05,6064.06,7558.22
01-Dec-1994,7489.77,6015.92,6479.55,3650.04,7152.35,6063.7,7558.33
01-Jan-1995,7488.86,6015.33,6473.6,3646.98,7146.22,6062.85,7558.61
01-Feb-1995,7487.78,6015.8,6469.25,3644.74,7148.19,6065.01,7558.78
01-Mar-1995,7484.3,6017.68,6469.98,3645.21,7152.96,6072.74,7559.77
