Date,Elevation (feet), , , , , , , , , ,
01-Oct-1990,6063.07, , , , , , , , , ,
01-Nov-1990,6063.69, , , , , , , , , ,
01-Dec-1990,6062.97, , , , , , , , , ,
01-Jan-1991,6062.10, , , , , , , , , ,
01-Feb-1991,6061.90, , , , , , , , , ,
01-Mar-1991,6063.96, , , , , , , , , ,
01-Apr-1991,6071.08, , , , , , , , , ,
01-May-1991,6074.25, , , , , , , , , ,
01-Jun-1991,6078.76, , , , , , , , , ,
01-Jul-1991,6077.03, , , , , , , , , ,
01-Aug-1991,6076.38, , , , , , , , , ,
01-Sep-1991,6077.76, , , , , , , , , ,
01-Oct-1991,6076.23, , , , , , , , , ,
01-Nov-1991,6075.85, , , , , , , , , ,
01-Dec-1991,6075.39, , , , , , , , , ,
01-Jan-1992,6074.46, , , , , , , , , ,
01-Feb-1992,6074.56, , , , , , , , , ,
01-Mar-1992,6077.42, , , , , , , , , ,
01-Apr-1992,6079.65, , , , , , , , , ,
01-May-1992,6079.07, , , , , , , , , ,
01-Jun-1992,6078.12, , , , , , , , , ,
01-Jul-1992,6077.73, , , , , , , , , ,
01-Aug-1992,6077.78, , , , , , , , , ,
01-Sep-1992,6077.29, , , , , , , , , ,
01-Oct-1992,6075.93, , , , , , , , , ,
01-Nov-1992,6074.87, , , , , , , , , ,
01-Dec-1992,6073.73, , , , , , , , , ,
01-Jan-1993,6073.10, , , , , , , , , ,
01-Feb-1993,6073.13, , , , , , , , , ,
01-Mar-1993,6068.87, , , , , , , , , ,
01-Apr-1993,6065.65, , , , , , , , , ,
01-May-1993,6075.10, , , , , , , , , ,
01-Jun-1993,6078.80, , , , , , , , , ,
01-Jul-1993,6078.69, , , , , , , , , ,
01-Aug-1993,6080.25, , , , , , , , , ,
01-Sep-1993,6080.32, , , , , , , , , ,
01-Oct-1993,6079.79, , , , , , , , , ,
01-Nov-1993,6078.40, , , , , , , , , ,
01-Dec-1993,6076.43, , , , , , , , , ,
01-Jan-1994,6074.39, , , , , , , , , ,
01-Feb-1994,6073.93, , , , , , , , , ,
01-Mar-1994,6078.03, , , , , , , , , ,
01-Apr-1994,6082.52, , , , , , , , , ,
01-May-1994,6081.89, , , , , , , , , ,
01-Jun-1994,6076.82, , , , , , , , , ,
01-Jul-1994,6068.45, , , , , , , , , ,
01-Aug-1994,6065.25, , , , , , , , , ,
01-Sep-1994,6064.43, , , , , , , , , ,
01-Oct-1994,6063.75, , , , , , , , , ,
01-Nov-1994,6064.06, , , , , , , , , ,
01-Dec-1994,6063.70, , , , , , , , , ,
01-Jan-1995,6062.85, , , , , , , , , ,
01-Feb-1995,6065.01, , , , , , , , , ,
01-Mar-1995,6072.74, , , , , , , , , ,
01-Apr-1995,6070.87, , , , , , , , , ,
01-May-1995,6064.55, , , , , , , , , ,
01-Jun-1995,6071.23, , , , , , , , , ,
01-Jul-1995,6079.24, , , , , , , , , ,
01-Aug-1995,6077.67, , , , , , , , , ,
01-Sep-1995,6075.64, , , , , , , , , ,
01-Oct-1995,6073.74, , , , , , , , , ,
01-Nov-1995,6071.39, , , , , , , , , ,
01-Dec-1995,6068.96, , , , , , , , , ,
01-Jan-1996,6068.12, , , , , , , , , ,
01-Feb-1996,6067.37, , , , , , , , , ,
01-Mar-1996,6066.64, , , , , , , , , ,
01-Apr-1996,6066.78, , , , , , , , , ,
01-May-1996,6069.21, , , , , , , , , ,
01-Jun-1996,6059.51, , , , , , , , , ,
01-Jul-1996,6055.81, , , , , , , , , ,
01-Aug-1996,6051.14, , , , , , , , , ,
01-Sep-1996,6048.40, , , , , , , , , ,
01-Oct-1996,6046.21, , , , , , , , , ,
01-Nov-1996,6046.61, , , , , , , , , ,
01-Dec-1996,6046.70, , , , , , , , , ,
01-Jan-1997,6047.05, , , , , , , , , ,
01-Feb-1997,6047.80, , , , , , , , , ,
01-Mar-1997,6054.74, , , , , , , , , ,
01-Apr-1997,6060.07, , , , , , , , , ,
01-May-1997,6065.26, , , , , , , , , ,
01-Jun-1997,6068.87, , , , , , , , , ,
01-Jul-1997,6067.75, , , , , , , , , ,
01-Aug-1997,6069.73, , , , , , , , , ,
01-Sep-1997,6074.41, , , , , , , , , ,
01-Oct-1997,6077.11, , , , , , , , , ,
01-Nov-1997,6077.00, , , , , , , , , ,
01-Dec-1997,6075.47, , , , , , , , , ,
01-Jan-1998,6073.31, , , , , , , , , ,
01-Feb-1998,6071.38, , , , , , , , , ,
01-Mar-1998,6073.69, , , , , , , , , ,
01-Apr-1998,6076.43, , , , , , , , , ,
01-May-1998,6071.73, , , , , , , , , ,
01-Jun-1998,6066.86, , , , , , , , , ,
01-Jul-1998,6066.37, , , , , , , , , ,
01-Aug-1998,6064.80, , , , , , , , , ,
01-Sep-1998,6062.60, , , , , , , , , ,
01-Oct-1998,6064.04, , , , , , , , , ,
01-Nov-1998,6065.17, , , , , , , , , ,
01-Dec-1998,6064.95, , , , , , , , , ,
01-Jan-1999,6063.61, , , , , , , , , ,
01-Feb-1999,6062.55, , , , , , , , , ,
01-Mar-1999,6062.38, , , , , , , , , ,
01-Apr-1999,6065.62, , , , , , , , , ,
01-May-1999,6073.07, , , , , , , , , ,
01-Jun-1999,6075.64, , , , , , , , , ,
01-Jul-1999,6078.93, , , , , , , , , ,
01-Aug-1999,6081.04, , , , , , , , , ,
01-Sep-1999,6075.50, , , , , , , , , ,
01-Oct-1999,6074.49, , , , , , , , , ,
01-Nov-1999,6073.12, , , , , , , , , ,
01-Dec-1999,6071.46, , , , , , , , , ,
01-Jan-2000,6070.05, , , , , , , , , ,
01-Feb-2000,6068.85, , , , , , , , , ,
01-Mar-2000,6068.90, , , , , , , , , ,
01-Apr-2000,6073.22, , , , , , , , , ,
01-May-2000,6077.04, , , , , , , , , ,
01-Jun-2000,6071.30, , , , , , , , , ,
01-Jul-2000,6067.63, , , , , , , , , ,
01-Aug-2000,6063.74, , , , , , , , , ,
01-Sep-2000,6060.69, , , , , , , , , ,
01-Oct-2000,6058.05, , , , , , , , , ,
01-Nov-2000,6056.77, , , , , , , , , ,
01-Dec-2000,6055.27, , , , , , , , , ,
