Date,Elevation (feet), , , , , , , , , ,
01-Oct-1990,7559.66, , , , , , , , , ,
01-Nov-1990,7559.50, , , , , , , , , ,
01-Dec-1990,7559.09, , , , , , , , , ,
01-Jan-1991,7558.88, , , , , , , , , ,
01-Feb-1991,7558.60, , , , , , , , , ,
01-Mar-1991,7558.37, , , , , , , , , ,
01-Apr-1991,7559.20, , , , , , , , , ,
01-May-1991,7561.55, , , , , , , , , ,
01-Jun-1991,7563.32, , , , , , , , , ,
01-Jul-1991,7561.55, , , , , , , , , ,
01-Aug-1991,7559.86, , , , , , , , , ,
01-Sep-1991,7559.92, , , , , , , , , ,
01-Oct-1991,7559.65, , , , , , , , , ,
01-Nov-1991,7559.48, , , , , , , , , ,
01-Dec-1991,7559.48, , , , , , , , , ,
01-Jan-1992,7560.31, , , , , , , , , ,
01-Feb-1992,7560.09, , , , , , , , , ,
01-Mar-1992,7560.29, , , , , , , , , ,
01-Apr-1992,7559.82, , , , , , , , , ,
01-May-1992,7559.50, , , , , , , , , ,
01-Jun-1992,7557.14, , , , , , , , , ,
01-Jul-1992,7555.35, , , , , , , , , ,
01-Aug-1992,7553.03, , , , , , , , , ,
01-Sep-1992,7551.79, , , , , , , , , ,
01-Oct-1992,7551.94, , , , , , , , , ,
01-Nov-1992,7551.46, , , , , , , , , ,
01-Dec-1992,7551.02, , , , , , , , , ,
01-Jan-1993,7550.64, , , , , , , , , ,
01-Feb-1993,7550.36, , , , , , , , , ,
01-Mar-1993,7550.27, , , , , , , , , ,
01-Apr-1993,7551.38, , , , , , , , , ,
01-May-1993,7557.97, , , , , , , , , ,
01-Jun-1993,7561.21, , , , , , , , , ,
01-Jul-1993,7561.07, , , , , , , , , ,
01-Aug-1993,7559.97, , , , , , , , , ,
01-Sep-1993,7559.26, , , , , , , , , ,
01-Oct-1993,7560.58, , , , , , , , , ,
01-Nov-1993,7561.01, , , , , , , , , ,
01-Dec-1993,7561.05, , , , , , , , , ,
01-Jan-1994,7561.15, , , , , , , , , ,
01-Feb-1994,7561.30, , , , , , , , , ,
01-Mar-1994,7561.72, , , , , , , , , ,
01-Apr-1994,7562.87, , , , , , , , , ,
01-May-1994,7564.03, , , , , , , , , ,
01-Jun-1994,7561.91, , , , , , , , , ,
01-Jul-1994,7559.34, , , , , , , , , ,
01-Aug-1994,7557.59, , , , , , , , , ,
01-Sep-1994,7556.42, , , , , , , , , ,
01-Oct-1994,7557.69, , , , , , , , , ,
01-Nov-1994,7558.22, , , , , , , , , ,
01-Dec-1994,7558.33, , , , , , , , , ,
01-Jan-1995,7558.61, , , , , , , , , ,
01-Feb-1995,7558.78, , , , , , , , , ,
01-Mar-1995,7559.77, , , , , , , , , ,
01-Apr-1995,7561.16, , , , , , , , , ,
01-May-1995,7566.05, , , , , , , , , ,
01-Jun-1995,7572.13, , , , , , , , , ,
01-Jul-1995,7574.51, , , , , , , , , ,
01-Aug-1995,7574.20, , , , , , , , , ,
01-Sep-1995,7573.35, , , , , , , , , ,
01-Oct-1995,7573.32, , , , , , , , , ,
