Colorado Counties,1990,2000,2010,2020
Moffat,11357,13147,13795,13144
Rio Blanco,6051,5986,6623,6342
Garfield,29974,44257,56072,60366
Mesa,93145,117631,146266,155603
Delta,20980,27877,30858,31067
Montrose,24423,33599,41182,43322
San Miguel,3653,6609,7358,8105
Ouray,2306,3775,4457,5001
Dolores,1504,1847,2069,2096
San Jaun,745,562,708,748
Montezuma,18672,23847,25576,26408
La Plata,32458,44228,51416,56564
Routt,14088,19815,23434,25560
Grand,7966,12496,14795,15794
Eagle,21928,41961,52098,54929
Summit,12881,23700,28075,30631
Pitkin,12661,14817,17156,17894
Gunnison,10273,14068,15290,17593
Archuleta,5345,10020,12048,14196
Hinsdale,465,791,844,808
Saguache,4619,5939,6135,6938
