State,County,FIPS,MapDate,DSCI
AZ,Apache County,04001,20000104,43
AZ,Apache County,04001,20000111,100
AZ,Apache County,04001,20000118,100
AZ,Apache County,04001,20000125,100
AZ,Apache County,04001,20000201,100
AZ,Apache County,04001,20000208,100
AZ,Apache County,04001,20000215,100
AZ,Apache County,04001,20000222,100
AZ,Apache County,04001,20000229,100
AZ,Apache County,04001,20000307,100
AZ,Apache County,04001,20000314,84
AZ,Apache County,04001,20000321,84
AZ,Apache County,04001,20000328,75
AZ,Apache County,04001,20000404,66
AZ,Apache County,04001,20000411,68
AZ,Apache County,04001,20000418,68
AZ,Apache County,04001,20000425,68
AZ,Apache County,04001,20000502,80
AZ,Apache County,04001,20000509,85
AZ,Apache County,04001,20000516,166
AZ,Apache County,04001,20000523,166
AZ,Apache County,04001,20000530,166
AZ,Apache County,04001,20000606,160
AZ,Apache County,04001,20000613,178
AZ,Apache County,04001,20000620,178
AZ,Apache County,04001,20000627,189
AZ,Apache County,04001,20000704,100
AZ,Apache County,04001,20000711,103
AZ,Apache County,04001,20000718,103
AZ,Apache County,04001,20000725,106
AZ,Apache County,04001,20000801,108
AZ,Apache County,04001,20000808,114
AZ,Apache County,04001,20000815,96
AZ,Apache County,04001,20000822,86
AZ,Apache County,04001,20000829,86
AZ,Apache County,04001,20000905,85
AZ,Apache County,04001,20000912,85
AZ,Apache County,04001,20000919,85
AZ,Apache County,04001,20000926,127
AZ,Apache County,04001,20001003,199
AZ,Apache County,04001,20001010,202
AZ,Apache County,04001,20001017,100
AZ,Apache County,04001,20001024,89
AZ,Apache County,04001,20001031,40
AZ,Apache County,04001,20001107,0
AZ,Apache County,04001,20001114,0
AZ,Apache County,04001,20001121,0
AZ,Apache County,04001,20001128,0
AZ,Apache County,04001,20001205,0
AZ,Apache County,04001,20001212,0
AZ,Apache County,04001,20001219,0
AZ,Apache County,04001,20001226,0
AZ,Apache County,04001,20010102,0
AZ,Apache County,04001,20010109,0
AZ,Apache County,04001,20010116,0
AZ,Apache County,04001,20010123,0
AZ,Apache County,04001,20010130,0
AZ,Apache County,04001,20010206,0
AZ,Apache County,04001,20010213,0
AZ,Apache County,04001,20010220,0
AZ,Apache County,04001,20010227,0
AZ,Apache County,04001,20010306,0
AZ,Apache County,04001,20010313,0
AZ,Apache County,04001,20010320,0
AZ,Apache County,04001,20010327,0
AZ,Apache County,04001,20010403,0
AZ,Apache County,04001,20010410,0
AZ,Apache County,04001,20010417,0
AZ,Apache County,04001,20010424,0
AZ,Apache County,04001,20010501,0
AZ,Apache County,04001,20010508,0
AZ,Apache County,04001,20010515,0
AZ,Apache County,04001,20010522,0
AZ,Apache County,04001,20010529,0
AZ,Apache County,04001,20010605,0
AZ,Apache County,04001,20010612,0
AZ,Apache County,04001,20010619,29
AZ,Apache County,04001,20010626,29
AZ,Apache County,04001,20010703,29
AZ,Apache County,04001,20010710,0
AZ,Apache County,04001,20010717,0
AZ,Apache County,04001,20010724,0
AZ,Apache County,04001,20010731,0
AZ,Apache County,04001,20010807,0
AZ,Apache County,04001,20010814,0
AZ,Apache County,04001,20010821,0
AZ,Apache County,04001,20010828,0
AZ,Apache County,04001,20010904,0
AZ,Apache County,04001,20010911,0
AZ,Apache County,04001,20010918,0
AZ,Apache County,04001,20010925,0
AZ,Apache County,04001,20011002,0
AZ,Apache County,04001,20011009,0
AZ,Apache County,04001,20011016,0
AZ,Apache County,04001,20011023,0
AZ,Apache County,04001,20011030,0
AZ,Apache County,04001,20011106,0
AZ,Apache County,04001,20011113,0
